,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Services.PhoneService,Services.MultipleLines,Services.InternetService,Services.OnlineSecurity,Services.OnlineBackup,Services.DeviceProtection,Services.TechSupport,Services.StreamingTV,Services.StreamingMovies,predict
0,id7044,Male,0,Yes,No,15.2088514324,Month-to-month,['No'],Credit card (automatic),45.6827820845,651.55,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No,Yes,0.0
1,id7045,Male,0,No,Yes,29.7799045784,Month-to-month,['Yes'],Credit card (automatic),40.3015024676,1359.7,No,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,Yes,0.0
2,id7046,Female,0,Yes,Yes,34.5463567496,Month-to-month,['Yes'],Mailed check,59.7780621973,1752.55,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,0.0
3,id7047,Male,0,No,No,37.2644336225,Month-to-month,['Yes'],Electronic check,58.3927438567,541.9,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,Yes,0.0
4,id7049,Female,1,No,No,31.1888698197,Two year,['No'],Bank transfer (automatic),87.3228958804,845.6,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,0.0
5,id7050,Male,0,No,No,52.7739142913,Two year,['Yes'],Mailed check,30.2370715421,4447.55,Yes,Yes,No,Yes,No,No internet service,No,No internet service,Yes,0.0
6,id7051,Male,0,Yes,No,32.4313959392,One year,['No'],Electronic check,64.3328555376,303.15,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,0.0
7,id7052,Male,0,Yes,No,41.378230751,Month-to-month,['No'],Mailed check,53.1233230425,1529.2,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,0.0
8,id7053,Male,0,No,No,28.2792170369,One year,['Yes'],Bank transfer (automatic),62.4966086974,2201.75,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,0.0
9,id7054,Female,0,Yes,No,8.2918283785,Two year,['Yes'],Mailed check,53.6454005642,3442.15,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,No,0.0
10,id7055,Male,0,No,No,20.7686138509,Month-to-month,['Yes'],Credit card (automatic),51.2688850886,560.6,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,0.0
11,id7056,Female,1,No,Yes,56.7534414995,Month-to-month,['Yes'],Electronic check,51.4466633833,805.1,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,Yes,0.0
12,id7057,Female,1,Yes,Yes,37.9790079546,Two year,['No'],Bank transfer (automatic),60.7444217484,6766.95,Yes,Yes,No,No,No internet service,Yes,Yes,No,No internet service,0.0
13,id7058,Female,0,No,No,46.4156163915,Two year,['Yes'],Credit card (automatic),39.8636148958,3673.15,Yes,No,DSL,No,No,No,No,Yes,No,0.0
14,id7059,Male,0,Yes,Yes,27.7060116666,One year,['No'],Bank transfer (automatic),24.8980962673,2688.85,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,0.0
15,id7060,Male,0,Yes,Yes,38.5926005758,Month-to-month,['Yes'],Mailed check,69.2267615979,140.4,Yes,No,DSL,No,No,No,No internet service,Yes,No internet service,0.0
16,id7061,Female,0,No,Yes,10.9941479211,Month-to-month,['Yes'],Bank transfer (automatic),68.7732158237,701.05,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,0.0
17,id7062,Male,0,Yes,Yes,38.1053707485,Two year,['Yes'],Credit card (automatic),60.0783521756,1099.6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,0.0
18,id7063,Female,0,No,Yes,10.8665575128,Month-to-month,['Yes'],Bank transfer (automatic),71.6672835413,3474.45,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No,0.0
19,id7064,Female,0,Yes,No,29.2879619616,Two year,['Yes'],Credit card (automatic),71.5788103903,94.55,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No internet service,0.0
20,id7065,Male,1,Yes,No,67.9846430769,Month-to-month,['No'],Credit card (automatic),66.7986899479,215.2,Yes,No,DSL,No,No,No,No,Yes,Yes,0.0
21,id7066,Male,0,No,Yes,45.9849737491,Month-to-month,['No'],Electronic check,61.2140955984,5774.55,No,No,DSL,No internet service,Yes,No internet service,No,Yes,No,0.0
22,id7067,Female,0,Yes,Yes,21.1002525702,Month-to-month,['No'],Electronic check,71.8608977742,617.65,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,0.0
23,id7068,Female,0,Yes,Yes,23.329234452,One year,['No'],Mailed check,72.3000975483,1060.6,Yes,No,DSL,Yes,No internet service,Yes,Yes,No,No,0.0
24,id7069,Female,1,No,No,17.4438587432,One year,['No'],Mailed check,71.4405517729,7679.65,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,No internet service,0.0
25,id7070,Female,0,No,Yes,49.2930766901,Month-to-month,['No'],Electronic check,96.3478699454,492,Yes,No,DSL,No,Yes,No,Yes,No,Yes,0.0
26,id7071,Female,1,Yes,Yes,48.4214318577,Month-to-month,['No'],Mailed check,53.4594556632,681.4,Yes,No,DSL,No internet service,No,Yes,Yes,No,Yes,0.0
27,id7072,Male,0,No,No,35.7295428719,Month-to-month,['Yes'],Mailed check,69.9644295786,1732.6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,0.0
28,id7073,Female,0,Yes,No,27.594039348,Month-to-month,['Yes'],Mailed check,70.6273222058,74.9,Yes,No phone service,No,No,No,No,Yes,Yes,No internet service,0.0
29,id7074,Male,0,No,No,20.9851727658,Month-to-month,['Yes'],Electronic check,61.0839632937,5706.3,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,0.0
30,id7075,Female,0,No,No,42.9670939377,Month-to-month,['No'],Mailed check,44.1554311907,46.35,Yes,No,DSL,Yes,No,No,Yes,No,No internet service,0.0
31,id7076,Female,0,Yes,Yes,24.1297257378,Two year,['Yes'],Bank transfer (automatic),64.8355462002,5791.1,Yes,No,DSL,No internet service,Yes,No,No,No,No,0.0
32,id7077,Male,0,Yes,No,30.959173755,Two year,['No'],Electronic check,64.2921163881,1790.8,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,Yes,0.0
33,id7078,Female,0,No,No,31.9649392715,Month-to-month,['Yes'],Mailed check,68.527281822,4362.05,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,0.0
34,id7079,Male,0,Yes,No,43.249255464,Month-to-month,['No'],Bank transfer (automatic),51.9633634927,3990.6,Yes,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,0.0
35,id7080,Male,1,Yes,No,34.7862694416,Month-to-month,['Yes'],Electronic check,63.3471315465,3147.5,No,Yes,DSL,Yes,Yes,No,No,No,Yes,0.0
36,id7082,Female,0,Yes,No,9.2578910487,Two year,['Yes'],Electronic check,60.7593016463,291.4,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,0.0
37,id7083,Male,0,Yes,No,31.715084768,Month-to-month,['Yes'],Electronic check,72.252429354,378.4,No,No,No,No,No,No internet service,Yes,No,No,0.0
38,id7084,Female,0,Yes,Yes,13.3475524373,One year,['Yes'],Credit card (automatic),91.7381165086,70.85,Yes,No,DSL,Yes,No,No,No,No,Yes,0.0
39,id7085,Male,0,Yes,Yes,33.2039315556,Month-to-month,['Yes'],Mailed check,89.1291876274,4534.9,No,No phone service,Fiber optic,No,No internet service,No,No,No internet service,Yes,0.0
40,id7086,Female,1,No,Yes,28.7913780416,Month-to-month,['Yes'],Mailed check,42.7710823994,2309.55,Yes,Yes,No,No,Yes,No,No,Yes,Yes,0.0
41,id7087,Female,0,No,No,44.4834280372,Month-to-month,['No'],Bank transfer (automatic),61.5957823785,185.6,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No,0.0
42,id7088,Male,0,Yes,Yes,41.3673050897,One year,['Yes'],Mailed check,79.1751191762,2958.95,Yes,No,DSL,No internet service,Yes,Yes,No,No,No internet service,0.0
43,id7089,Male,1,Yes,No,36.4394887043,Two year,['Yes'],Bank transfer (automatic),89.8692812795,4186.3,No,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,0.0
